author,clean_comment,likes,published
@SameerKumar-ku9qn,"If people find a metal more valuable that ANYTHING else in the world, it should be a tell that world is going to shit.",7,2025-10-17 16:34:12+00:00
@ThreeWishes777,"If you are watching this now , it is too late. Those who bought it cheap are the ones selling it for high prices now. Fear of miss out may make you lose money. Search how much gold was 5 years ago.",3,2025-10-17 14:10:05+00:00
@danielking104,China and boomers are ditching USD. That's the truth. This has nothiing to do with war.,3,2025-10-17 21:34:24+00:00
@TheGreatDrYakub,We have no idea how much gold there is or who has it. You're looking for Bitcoin,3,2025-10-17 14:16:08+00:00
@AHHUAT2,you guys should just shut up ... the reason gold and silver price going up is because the china people are having a capital flight with their overprinted RMB yuan... they are waiting for the collapse of their financial market.... just like bitcoin is rising... all are the chinese people in china buying up...,2,2025-10-17 08:19:09+00:00
@Jerbear112266,"@crwelch12 It may very well be a hedge only because it’s real money for money to be money, it must be a commodity amongst gold’s other attributes… currencies like crypto are not money. All currencies are a Ponzi scheme and a way to enslave the population with endless debt. The Keynesian debt based system is at the end of its lifecycle. Governments abused their privileged monetizing debt and deficits debasing and diluting the currency into infinity with impunity!",2,2025-10-17 14:45:53+00:00
@nickchandra4890,"Incredible reporting ? Basic , meaningless reporting. Everybody knows this stuff. No deep insight such as how the Futures market vs Spot is trading, how margin rates are going up due to volatility , how Silver price falling affects Gold as well, how Equity markets falling leads to Gold falling in the short term as investors need to raise cash by selling everything they have including Gold. This is the usual Bloomberg rubbish.",2,2025-10-18 22:25:19+00:00
@singh5105,"@MrTVintro the miners debt is in paper money, taxes are paid in fiat etc",2,2025-10-17 10:19:50+00:00
@BM-je5nb,There is alr war everywhere in the world,2,2025-10-17 17:25:30+00:00
@somtawindukduk3806,"does that actually mean manipulated? If you have a car and you borrow money using a car as collateral and you lend that borrowed money out again, do you manipulate your car?",2,2025-10-17 08:35:24+00:00
@alexturcin7390,"Well in my country when the gold price spiked, most people rushed into pawn shops to sell some of their gold so they could fix their financial problems (debts, student loans, etc).",2,2025-10-19 06:22:55+00:00
@RoflMaiWaffel,"Currency was made to transact value, but modern currency has been deeply abused. What we're seeing is a return to the oldest form of money.",2,2025-10-17 11:03:13+00:00
@Humanbeing01,"US seems in big trouble. they are facing all types of problems now, they are struggling to pay even interest of their debts and payments, imf also seems reached at their limits. US can’t reduce their expenses. They facing Inflation. They trying to crypto trick but it don’t seems it’s working or it will work. Because of tarrifs and wasting money on wrong places like external and internal wars. Their Unstable, unpredictable, insecure and confused economy. It seems Printing dollars wouldn’t help much now. Now if some or even one big US company or bank will fall than it could lead to collapse of US market and dollars. This seems scary situation.",1,2025-10-19 02:16:13+00:00
@spumemonk11,The financial devastation Trump and his sycophantic followers are causing is unprecedented. They deserve everything that's heading their way.,1,2025-10-17 15:35:40+00:00
@Raiden-if2be,"@manasranjanpatra714 There was logic when US dollars was backed by gold. After the gold standard was removed, the US dollars became worthless US debt dollars",1,2025-10-17 17:29:21+00:00
@AnnemarieSchor,"Thanks bud for keeping us financially Educated! Regardless of how bad it gets on the economy, I still make over $19,000 every single week...",1,2025-10-18 21:48:59+00:00
@manager4409,"I have a lot of silver but I worry in a collapse scenario, that industrial demand decreasing by even 10% would mean hundreds of millions of excess oz that no longer are needed, and there'd be a glut and no ""shortage"" like they claim now.",1,2025-10-18 17:06:14+00:00
@MAdhawanPRakash,"dollar inflation is barely Trump's fault. It has been going on for decades as the reckless policy of successive US goverrnments . Trump just haappens to have to manage it now, and possibly makes it worse, but he doesn't have many options",1,2025-10-17 18:00:05+00:00
@mikedog8627,"Great store of value but hopeless for payment in a digital world, too many people not looking forward stablecoins and BTC is the new digital money and gold.",1,2025-10-17 20:48:47+00:00
@jxwlticrkld,It’s the autocrats — that’s what’s going wrong.,0,2025-10-18 14:08:56+00:00
@nickchandra4890,"Basic , meaningless reporting. Everybody knows this stuff. No deep insight such as how the Futures market vs Spot is trading, how margin rates are going up due to volatility , how Silver price falling affects Gold as well, how Equity markets falling leads to Gold falling in the short term as investors need to raise cash by selling everything they have including Gold. This is the usual Bloomberg rubbish.",0,2025-10-18 22:22:08+00:00
@quasifex3869,"Gold is overrated. What has real value in troubled times is pure water, food and ammo.",0,2025-10-19 09:24:14+00:00
@EcoRundown8888,Every gold rally is really a confidence crisis in disguise.,0,2025-10-19 08:06:21+00:00
@MZMA85,Just wait until one of the gold bars speaks chinese & accidentally reveals its tungsten core beneath the gold coating,0,2025-10-19 02:02:49+00:00
@rhena229,"When it drops, lots of folks could lose a chunk of their savings, if not all.",0,2025-10-19 00:22:00+00:00
@The-All-Seeing-Eye666,1000% gold will crash to around 3/3.4k. I will only buy gold after the crash,0,2025-10-17 20:31:43+00:00
@The-All-Seeing-Eye666,This is nothing for what to come. Gold will crash 20/25% to it’s 200 sma,0,2025-10-17 20:25:41+00:00
@Guanyinhennasea,"When all you do is make doomer predictions, some are bound to be correct. Broken clock dipshit",0,2025-10-17 22:12:09+00:00
@MichaelBrashier,What can i do with shiny rocks if the global economy collapses?,0,2025-10-17 17:20:00+00:00
@mikebostic9518,Debasement is pure nonsense,0,2025-10-17 19:16:28+00:00
@kanasricharoenchai3298,"As long as people don’t know shit, dollar still works, and it seems like majority of people not gonna know it anytime soon.",0,2025-10-19 04:25:56+00:00
@almontoya5703,Gold will pop because it isn't a productive asset.,0,2025-10-18 09:03:51+00:00
@joseelias7900,Too much gold is being smuggled,0,2025-10-18 06:52:29+00:00
@manasranjanpatra714,there is no logic behind dollar being the reserve currency. US takes undue advantage of dollar dominance only to create bubbles like 2008 subprime crisis and now the AI bubble by printing doars an infating its debt which it pays by printing more. thats unfair and the world will not accept this anymore.,0,2025-10-17 13:14:35+00:00
@shinji1264,"War is coming, everybody buy gold, china and russia distabalizing the world the communist are coming 🗣🗣",0,2025-10-17 13:31:00+00:00
@evelanpatton,"It’s a shame that a few conservative, rich white men our country, are SO RACIST they are willing to tank a stable democratic society out of FEAR & SCARCITY; when IN FACT what originally stabilized the USA economy was the ABUNDANT SOCIAL CITIZEN INVESTMENT POLICIES of THE NEW DEAL. Those NEW DEAL policies has LONG TERM, statistically acknowledged POSITIVE ECONOMIC OUTCOMES through to the early 70’s when those initial investments in the early 30’s to late 40’s were BUDGETED for & PROSPERITY FOLLOWED!",0,2025-10-17 13:56:35+00:00
@elementx8046,No one is selling,0,2025-10-18 22:06:23+00:00
@TheGreatDrYakub,It means people are stupid and predictable. There's a lot of uncertainty and gold is a hedge against volatility. The value is as meaningless as Tesla shares,0,2025-10-17 14:15:18+00:00
@RussAlan-x2j,"It’s always advisable to invest judiciously, keep a stop loss figure. Shuffle between debt and equity wherever the ratio goes too off your target. As for the target, I recommend a Ratio like this Debt % should be equal to your age in years. If you are 20, debt is 20%, reset in equity. If the market falls or rises drastically, your debt % will change, which you should rebalance to 20% and bring back equity to 80%. Thus you would have bought low or booked profit depending on if it was a crash or a bull run, you still have the chance to improve you financial level by following Mills Wiesener’s program.",0,2025-10-17 14:13:02+00:00
@HevaNaisdey,Who has the most gold in reserve in the world? Think about it and it all will make senses. Everything else is a distraction.,0,2025-10-17 15:05:27+00:00
